 631,  -1.93812e+04 
 632,  -1.93815e+04 
 633,  -1.93859e+04 
 635,  -1.93937e+04 
 637,  -1.93981e+04 
 638,  -1.94015e+04 
 639,  -1.94048e+04 
 640,  -1.94080e+04 
 641,  -1.94102e+04 
 642,  -1.94130e+04 
 643,  -1.94131e+04 
 644,  -1.94152e+04 
 646,  -1.94275e+04 
 648,  -1.94322e+04 
 649,  -1.94353e+04 
 650,  -1.94378e+04 
 651,  -1.94409e+04 
 652,  -1.94415e+04 
 653,  -1.94442e+04 
 655,  -1.94551e+04 
 657,  -1.94596e+04 
 658,  -1.94628e+04 
 659,  -1.94659e+04 
 660,  -1.94685e+04 
 661,  -1.94698e+04 
 662,  -1.94720e+04 
 664,  -1.94806e+04 
 666,  -1.94851e+04 
 667,  -1.94881e+04 
 668,  -1.94911e+04 
 669,  -1.94937e+04 
 670,  -1.94955e+04 
 671,  -1.94976e+04 
 673,  -1.95058e+04 
 674,  -1.95073e+04 
 675,  -1.95164e+04 
 677,  -1.95202e+04 
 678,  -1.95220e+04 
 679,  -1.95264e+04 
 681,  -1.95308e+04 
 682,  -1.95338e+04 
 683,  -1.95390e+04 
 685,  -1.95425e+04 
 686,  -1.95457e+04 
 687,  -1.95494e+04 
 688,  -1.95508e+04 
 689,  -1.95549e+04 
 691,  -1.95601e+04 
 692,  -1.95629e+04 
 693,  -1.95692e+04 
 695,  -1.95727e+04 
 696,  -1.95755e+04 
 697,  -1.95791e+04 
 698,  -1.95803e+04 
 699,  -1.95839e+04 
 701,  -1.95898e+04 
 702,  -1.95922e+04 
 703,  -1.95996e+04 
 705,  -1.96032e+04 
 706,  -1.96057e+04 
 707,  -1.96091e+04 
 708,  -1.96101e+04 
 709,  -1.96133e+04 
 711,  -1.96200e+04 
 712,  -1.96214e+04 
 713,  -1.96301e+04 
 715,  -1.96336e+04 
 716,  -1.96359e+04 
 717,  -1.96393e+04 
 718,  -1.96397e+04 
 719,  -1.96430e+04 
 721,  -1.96505e+04 
 723,  -1.96544e+04 
 724,  -1.96575e+04 
 725,  -1.96603e+04 
 726,  -1.96633e+04 
 727,  -1.96649e+04 
 728,  -1.96676e+04 
 730,  -1.96740e+04 
 732,  -1.96783e+04 
 733,  -1.96814e+04 
 734,  -1.96841e+04 
 735,  -1.96872e+04 
 736,  -1.96886e+04 
 737,  -1.96917e+04 
 739,  -1.96974e+04 
 740,  -1.97002e+04 
 741,  -1.97070e+04 
 743,  -1.97101e+04 
 744,  -1.97124e+04 
 745,  -1.97152e+04 
 746,  -1.97162e+04 
 747,  -1.97188e+04 
 749,  -1.97248e+04 
 750,  -1.97261e+04 
 751,  -1.97338e+04 
 753,  -1.97366e+04 
 754,  -1.97385e+04 
 755,  -1.97411e+04 
 756,  -1.97414e+04 
 757,  -1.97439e+04 
 759,  -1.97504e+04 
 761,  -1.97536e+04 
 762,  -1.97561e+04 
 763,  -1.97582e+04 
 764,  -1.97607e+04 
 765,  -1.97616e+04 
 766,  -1.97637e+04 
 768,  -1.97692e+04 
 770,  -1.97724e+04 
 771,  -1.97749e+04 
 772,  -1.97768e+04 
 773,  -1.97792e+04 
 774,  -1.97801e+04 
 775,  -1.97826e+04 
 777,  -1.97874e+04 
 778,  -1.97890e+04 
 779,  -1.97951e+04 
 781,  -1.97975e+04 
 782,  -1.97992e+04 
 783,  -1.98014e+04 
 784,  -1.98020e+04 
 785,  -1.98040e+04 
 787,  -1.98093e+04 
 788,  -1.98100e+04 
 789,  -1.98168e+04 
 791,  -1.98191e+04 
 792,  -1.98206e+04 
 793,  -1.98226e+04 
 794,  -1.98227e+04 
 795,  -1.98247e+04 
 797,  -1.98304e+04 
 799,  -1.98331e+04 
 800,  -1.98353e+04 
 801,  -1.98369e+04 
 802,  -1.98391e+04 
 803,  -1.98397e+04 
 804,  -1.98416e+04 
 806,  -1.98463e+04 
 808,  -1.98490e+04 
 809,  -1.98511e+04 
 810,  -1.98527e+04 
 811,  -1.98548e+04 
 812,  -1.98555e+04 
 813,  -1.98577e+04 
 815,  -1.98619e+04 
 816,  -1.98634e+04 
 817,  -1.98688e+04 
 819,  -1.98709e+04 
 820,  -1.98725e+04 
 821,  -1.98744e+04 
 822,  -1.98751e+04 
 823,  -1.98769e+04 
 825,  -1.98816e+04 
 826,  -1.98826e+04 
 827,  -1.98887e+04 
 829,  -1.98908e+04 
 830,  -1.98923e+04 
 831,  -1.98942e+04 
 832,  -1.98946e+04 
 833,  -1.98963e+04 
 835,  -1.99016e+04 
 836,  -1.99018e+04 
 837,  -1.99088e+04 
 839,  -1.99109e+04 
 840,  -1.99123e+04 
 841,  -1.99142e+04 
 842,  -1.99143e+04 
 843,  -1.99162e+04 
 845,  -1.99220e+04 
 847,  -1.99246e+04 
 848,  -1.99269e+04 
